iter	Passed	Remaining
0	1	106
1	2	98
2	2	93
3	3	84
4	4	83
5	5	81
6	6	80
7	6	79
8	7	77
9	8	76
10	9	75
11	10	74
12	10	73
13	11	72
14	12	71
15	13	70
16	14	69
17	15	68
18	15	67
19	16	66
20	17	67
21	18	66
22	19	66
23	20	65
24	21	65
25	22	64
26	23	63
27	24	63
28	25	62
29	35	82
30	36	80
31	37	78
32	38	78
33	39	76
34	40	75
35	41	73
36	42	72
37	43	70
38	44	69
39	45	67
40	46	66
41	46	64
42	49	66
43	50	64
44	53	65
45	56	65
46	58	66
47	60	66
48	63	66
49	66	66
50	70	67
51	73	67
52	76	67
53	79	67
54	79	65
55	80	63
56	81	61
57	82	60
58	90	62
59	93	62
60	94	60
61	95	58
62	96	56
63	97	54
64	99	53
65	101	52
66	102	50
67	104	49
68	108	48
69	109	47
70	110	45
71	112	43
72	113	42
73	115	40
74	116	38
75	117	37
76	118	35
77	119	33
78	120	31
79	121	30
80	122	28
81	123	27
82	124	25
83	125	23
84	126	22
85	127	20
86	129	19
87	131	17
88	132	16
89	133	14
90	134	13
91	135	11
92	136	10
93	136	8
94	137	7
95	138	5
96	139	4
97	140	2
98	141	1
99	142	0
