iter	Passed	Remaining
0	1	1298
1	2	1209
2	3	1160
3	4	1133
4	5	1131
5	6	1140
6	8	1214
7	9	1223
8	10	1198
9	11	1181
10	12	1166
11	14	1157
12	15	1172
13	16	1170
14	17	1169
15	18	1155
16	19	1143
17	21	1148
18	22	1141
19	24	1185
20	25	1180
21	26	1171
22	27	1168
23	29	1188
24	31	1214
25	32	1224
26	34	1232
27	36	1281
28	40	1372
29	42	1382
30	45	1410
31	46	1405
32	48	1412
33	49	1410
34	56	1571
35	58	1561
36	59	1554
37	61	1551
38	62	1542
39	63	1530
40	65	1524
41	66	1522
42	68	1533
43	70	1526
44	73	1552
45	74	1547
46	75	1539
47	76	1526
48	80	1564
49	82	1565
50	83	1561
51	85	1558
52	87	1558
53	88	1548
54	90	1552
55	96	1634
56	99	1639
57	100	1636
58	102	1640
59	104	1634
60	105	1625
61	107	1621
62	108	1619
63	110	1611
64	111	1599
65	112	1587
66	113	1576
67	114	1567
68	152	2060
69	154	2047
70	155	2037
71	158	2040
72	159	2023
73	160	2005
74	161	1988
75	162	1972
76	163	1955
77	164	1938
78	164	1923
79	165	1907
80	166	1892
81	167	1876
82	168	1856
83	168	1842
84	169	1828
85	172	1829
86	173	1817
87	174	1804
88	175	1792
89	176	1780
90	177	1768
91	178	1756
92	178	1745
93	179	1734
94	180	1723
95	181	1712
96	182	1701
97	183	1692
98	184	1682
99	185	1672
100	186	1662
101	187	1653
102	188	1644
103	189	1634
104	190	1625
105	191	1616
106	192	1607
107	193	1598
108	196	1603
109	197	1595
110	198	1586
111	199	1578
112	199	1569
113	200	1561
114	201	1552
115	202	1545
116	203	1535
117	204	1527
118	205	1520
119	206	1512
120	207	1505
121	208	1498
122	215	1534
123	217	1533
124	218	1530
125	223	1547
126	226	1557
127	227	1550
128	228	1545
129	229	1536
130	230	1528
131	231	1519
132	231	1512
133	232	1504
134	233	1496
135	234	1490
136	236	1489
137	237	1483
138	238	1476
139	239	1470
140	240	1463
141	240	1454
142	241	1447
143	256	1522
144	257	1517
145	259	1515
146	260	1509
147	261	1502
148	262	1496
149	262	1489
150	263	1481
151	264	1473
152	264	1466
153	265	1459
